segment,metric,model,srv,delta_pp,n_srv
all,dep_hour_share_all_10,0.04532238264714034,0.05208275243,-0.6760369782859654,18223
all,dep_hour_share_all_11,0.048825355858759335,0.05638717976,-0.7561823901240667,18223
all,dep_hour_share_all_12,0.06034819977141919,0.06122048412,-0.0872284348580811,18223
all,dep_hour_share_all_13,0.06601581826099447,0.07229829733,-0.6282479069005531,18223
all,dep_hour_share_all_14,0.07312696787784964,0.07193688752,0.1190080357849635,18223
all,dep_hour_share_all_15,0.08790589948893396,0.09129177653,-0.3385877041066035,18223
all,dep_hour_share_all_16,0.08919178867902897,0.09313951947,-0.3947730790971035,18223
all,dep_hour_share_all_17,0.07829755827621798,0.08325053706,-0.4952978783782022,18223
all,dep_hour_share_all_18,0.06368701691621755,0.06232227312,0.1364743796217545,18223
all,dep_hour_share_all_19,0.04067292261963118,0.03832407875,0.23488438696311828,18223
all,dep_hour_share_all_20,0.02902663595037406,0.02323517727,0.5791458680374059,18223
all,dep_hour_share_all_21,0.019146329825365956,0.01689596206,0.22503677653659576,18223
all,dep_hour_share_all_22,0.014472116105240976,0.01114277512,0.33293409852409755,18223
all,dep_hour_share_all_23,0.007329047253170671,0.003609894486,0.3719152767170671,18223
all,dep_hour_share_all_4,0.004318867948495383,0.002569121759,0.17497461894953825,18223
all,dep_hour_share_all_5,0.0159902340168501,0.01238511537,0.36051186468501006,18223
all,dep_hour_share_all_6,0.048034540520980544,0.03307486761,1.4959672910980542,18223
all,dep_hour_share_all_7,0.09025098615780024,0.102717226,-1.2466239842199758,18223
all,dep_hour_share_all_8,0.057887813008000326,0.06368874809,-0.5800935081999671,18223
all,dep_hour_share_all_9,0.04873350663089541,0.04633409046,0.23994161708954104,18223
all,dep_hour_share_education_10,0.01886889316183471,0.01127198533,0.759690783183471,18223
all,dep_hour_share_education_11,0.02861369873242855,0.01820934422,1.0404354512428549,18223
all,dep_hour_share_education_12,0.02629417365168854,0.02153748165,0.47566920016885417,18223
all,dep_hour_share_education_13,0.031502604215281796,0.02866261207,0.28399921452817967,18223
all,dep_hour_share_education_14,0.02453002781563276,0.01802018268,0.6509845135632759,18223
all,dep_hour_share_education_15,0.03405081486736237,0.01783646586,1.6214349007362368,18223
all,dep_hour_share_education_16,0.01854219948849105,0.01602070108,0.2521498408491047,18223
all,dep_hour_share_education_17,0.008456699087124535,0.01398119051,-0.5524491422875465,18223
all,dep_hour_share_education_18,0.0057731439132301604,0.005305116992,0.04680269212301606,18223
all,dep_hour_share_education_19,0.005283103403214666,0.001884147068,0.33989563352146657,18223
all,dep_hour_share_education_20,0.0005040416674445087,0.0004658888282,0.0038152839244508753,18223
all,dep_hour_share_education_21,0.0003080254634383109,0.0004652239367,-0.01571984732616891,18223
all,dep_hour_share_education_22,0.00013534452181380326,0.0,0.013534452181380326,18223
all,dep_hour_share_education_23,8.867399705042284e-05,0.0,0.008867399705042283,18223
all,dep_hour_share_education_4,0.0005460451397315512,0.0,0.05460451397315512,18223
all,dep_hour_share_education_5,0.003481621147348181,0.001188721285,0.22928998623481808,18223
all,dep_hour_share_education_6,0.1710241379954076,0.06624452555,10.477961244540761,18223
all,dep_hour_share_education_7,0.4638956820430489,0.617002642,-15.310695995695111,18223
all,dep_hour_share_education_8,0.12029794463008942,0.1259639598,-0.5666015169910582,18223
all,dep_hour_share_education_9,0.036421677525342096,0.03593981114,0.0481866385342096,18223
all,dep_hour_share_escort_10,0.016991793079533014,0.01565574758,0.13360454995330132,18223
all,dep_hour_share_escort_11,0.033024865541133194,0.03004725867,0.2977606871133194,18223
all,dep_hour_share_escort_12,0.06048779161085462,0.0528680563,0.7619735310854623,18223
all,dep_hour_share_escort_13,0.0709453257270298,0.08932804703,-1.8382721302970195,18223
all,dep_hour_share_escort_14,0.1353223953056687,0.115349183,1.9973212305668704,18223
all,dep_hour_share_escort_15,0.12207029257977439,0.1244621437,-0.23918511202256076,18223
all,dep_hour_share_escort_16,0.0793086332451673,0.05920440843,2.0104224815167306,18223
all,dep_hour_share_escort_17,0.056224544607706484,0.05249078204,0.37337625677064806,18223
all,dep_hour_share_escort_18,0.0425916734094417,0.03538729115,0.72043822594417,18223
all,dep_hour_share_escort_19,0.018922833189411917,0.01797240353,0.09504296594119166,18223
all,dep_hour_share_escort_20,0.008036934541819937,0.005678119723,0.2358814818819937,18223
all,dep_hour_share_escort_21,0.00662265164444384,0.004239624988,0.23830266564438393,18223
all,dep_hour_share_escort_22,0.0026449809955735666,0.01415427905,-1.1509298054426433,18223
all,dep_hour_share_escort_23,0.001801850806753201,0.0,0.1801850806753201,18223
all,dep_hour_share_escort_4,0.0012714947202371644,0.0006932826375,0.05782120827371644,18223
all,dep_hour_share_escort_5,0.0022370147751766154,0.001337280905,0.08997338701766154,18223
all,dep_hour_share_escort_6,0.044223538291029506,0.01618361979,2.8039918501029506,18223
all,dep_hour_share_escort_7,0.17901557751018216,0.2309359067,-5.192032918981784,18223
all,dep_hour_share_escort_8,0.08564570853533328,0.1134596022,-2.7813893664666716,18223
all,dep_hour_share_escort_9,0.027891290601138225,0.0168111617,1.1080128901138224,18223
all,dep_hour_share_home_10,0.03269315177599722,0.04046123877,-0.7768086994002776,18223
all,dep_hour_share_home_11,0.04849987520801923,0.0585540642,-1.0054188991980766,18223
all,dep_hour_share_home_12,0.07426805004510506,0.06647582231,0.779222773510506,18223
all,dep_hour_share_home_13,0.08171175477867224,0.09330815006,-1.1596395281327763,18223
all,dep_hour_share_home_14,0.08423810779366996,0.08069255332,0.3545554473669957,18223
all,dep_hour_share_home_15,0.1053095662637594,0.1093322941,-0.4022727836240608,18223
all,dep_hour_share_home_16,0.10927004906398191,0.116839246,-0.7569196936018083,18223
all,dep_hour_share_home_17,0.10322917832109016,0.1064625149,-0.323333657890984,18223
all,dep_hour_share_home_18,0.08907174326181984,0.08747836701,0.15933762518198363,18223
all,dep_hour_share_home_19,0.05993770572094948,0.05159458958,0.8343116140949479,18223
all,dep_hour_share_home_20,0.05247287632606149,0.04105673517,1.1416141156061494,18223
all,dep_hour_share_home_21,0.036312510415631626,0.0308444887,0.5468021715631627,18223
all,dep_hour_share_home_22,0.02896425785544003,0.02079915672,0.8165101135440032,18223
all,dep_hour_share_home_23,0.01535528159564738,0.00713848223,0.821679936564738,18223
all,dep_hour_share_home_4,5.47676404613939e-05,0.0007880555536,-0.07332879131386061,18223
all,dep_hour_share_home_5,0.0007111969311343865,0.002243374312,-0.15321773808656133,18223
all,dep_hour_share_home_6,0.002024837907344106,0.005951955834,-0.3927117926655894,18223
all,dep_hour_share_home_7,0.00999196480474945,0.01771765154,-0.772568673525055,18223
all,dep_hour_share_home_8,0.019164762187169195,0.03211590665,-1.2951144462830804,18223
all,dep_hour_share_home_9,0.028098146741286273,0.02755384938,0.054429736128627434,18223
all,dep_hour_share_leisure_10,0.04678722619211363,0.05123809208,-0.4450865887886367,18223
all,dep_hour_share_leisure_11,0.03720708860317315,0.04645842328,-0.9251334676826851,18223
all,dep_hour_share_leisure_12,0.04488124166268222,0.06364873778,-1.8767496117317788,18223
all,dep_hour_share_leisure_13,0.055146922369883264,0.05387841209,0.1268510279883263,18223
all,dep_hour_share_leisure_14,0.07873702871639693,0.07686726499,0.18697637263969252,18223
all,dep_hour_share_leisure_15,0.10522650213631829,0.1102737997,-0.5047297563681705,18223
all,dep_hour_share_leisure_16,0.13873078459754906,0.1294178436,0.9312940997549063,18223
all,dep_hour_share_leisure_17,0.1260678862347745,0.1191116262,0.6956260034774495,18223
all,dep_hour_share_leisure_18,0.10030980435822029,0.1016873967,-0.13775923417797126,18223
all,dep_hour_share_leisure_19,0.0636507135979879,0.07607784797,-1.2427134372012094,18223
